IPC Code,Description
G01D,MEASURING NOT SPECIALLY ADAPTED FOR A SPECIFIC VARIABLE ; ARRANGEMENTS FOR MEASURING TWO OR MORE VARIABLES NOT COVERED BY A SINGLE OTHER SUBCLASS; TARIFF METERING APPARATUS ; TRANSFERRING OR TRANSDUCING ARRANGEMENTS NOT SPECIALLY ADAPTED FOR A SPECIFIC VARIABLE ; MEASURING OR TESTING NOT OTHERWISE PROVIDED FOR
G01F,"MEASURING VOLUME, VOLUME FLOW, MASS FLOW, OR LIQUID LEVEL; METERING BY VOLUME [5]"
G01G,WEIGHING
G01H,"MEASUREMENT OF MECHANICAL VIBRATIONS OR ULTRASONIC, SONIC OR INFRASONIC WAVES [4]"
G01J,"MEASUREMENT OF INTENSITY, VELOCITY, SPECTRAL CONTENT, POLARISATION, PHASE OR PULSE CHARACTERISTICS OF INFRARED, VISIBLE OR ULTRAVIOLET LIGHT; COLORIMETRY; RADIATION PYROMETRY [2]"
G01K,MEASURING TEMPERATURE; MEASURING QUANTITY OF HEAT; THERMALLY-SENSITIVE ELEMENTS NOT OTHERWISE PROVIDED FOR (radiation pyrometry G01J 5/00 )
G01L,"MEASURING FORCE, STRESS, TORQUE, WORK, MECHANICAL POWER, MECHANICAL EFFICIENCY, OR FLUID PRESSURE (weighing G01G ) [4]"
G01M,"TESTING STATIC OR DYNAMIC BALANCE OF MACHINES OR STRUCTURES; TESTING OF STRUCTURES OR APPARATUS , NOT OTHERWISE PROVIDED FOR"
G01N,"INVESTIGATING OR ANALYSING MATERIALS BY DETERMINING THEIR CHEMICAL OR PHYSICAL PROPERTIES ( measuring or testing apparatus or processes other than immunoassay, involving enzymes or microorganisms C12M , C12Q )"
G01Q,"SCANNING-PROBE TECHNIQUES OR APPARATUS ; APPLICATIONS OF SCANNING-PROBE TECHNIQUES, e.g. SCANNING-PROBE MICROSCOPY [SPM] [2010.01]"
G01R,MEASURING ELECTRIC VARIABLES ; MEASURING MAGNETIC VARIABLES (indicating correct tuning of resonant circuits H03J 3/12 )
G01S,RADIO DIRECTION-FINDING; RADIO NAVIGATION ; DETERMINING DISTANCE OR VELOCITY BY USE OF RADIO WAVES ; LOCATING OR PRESENCE-DETECTING BY USE OF THE REFLECTION OR RERADIATION OF RADIO WAVES ; ANALOGOUS ARRANGEMENTS USING OTHER WAVES
G01T,"MEASUREMENT OF NUCLEAR OR X-RADIATION (radiation analysis of materials , mass spectrometry G01N 23/00 ; tubes for determining the presence, intensity, density or energy of radiation or particles H01J 47/00 )"
G01V,"GEOPHYSICS; GRAVITATIONAL MEASUREMENTS; DETECTING MASSES OR OBJECTS; TAGS (means for indicating the location of accidentally buried, e.g. snow-buried, persons A63B 29/02 ) [6]"
G01W,"METEOROLOGY (radar, sonar, lidar or analogous systems, designed for meteorological use G01S 13/95 , G01S 15/88 , G01S 17/95 )"
G02B,"OPTICAL ELEMENTS, SYSTEMS OR APPARATUS [7]"
G02C,SPECTACLES; SUNGLASSES OR GOGGLES INSOFAR AS THEY HAVE THE SAME FEATURES AS SPECTACLES; CONTACT LENSES
G02F,OPTICAL DEVICES OR ARRANGEMENTS FOR THE CONTROL OF LIGHT BY MODIFICATION OF THE OPTICAL PROPERTIES OF THE MEDIA OF THE ELEMENTS INVOLVED THEREIN; NON-LINEAR OPTICS ; FREQUENCY-CHANGING OF LIGHT ; OPTICAL LOGIC ELEMENTS; OPTICAL ANALOGUE/DIGITAL CONVERTERS [4]
G03C,"PHOTOSENSITIVE MATERIALS FOR PHOTOGRAPHIC PURPOSES; PHOTOGRAPHIC PROCESSES, e.g. CINE, X-RAY, COLOUR OR STEREO-PHOTOGRAPHIC PROCESSES; AUXILIARY PROCESSES IN PHOTOGRAPHY (photographic processes characterised by the use or manipulation of apparatus classifiable per se in subclass G03B , see G03B )"
G03D,APPARATUS FOR PROCESSING EXPOSED PHOTOGRAPHIC MATERIALS ; ACCESSORIES THEREFOR
G03F,"PHOTOMECHANICAL PRODUCTION OF TEXTURED OR PATTERNED SURFACES, e.g. FOR PRINTING, FOR PROCESSING OF SEMICONDUCTOR DEVICES; MATERIALS THEREFOR; ORIGINALS THEREFOR; APPARATUS SPECIALLY ADAPTED THEREFOR (phototypographic composing devices B41B ; photosensitive materials or processes for photographic purposes G03C ; electrography, sensitive layers or processes G03G )"
G03G,ELECTROGRAPHY; ELECTROPHOTOGRAPHY; MAGNETOGRAPHY (information storage based on relative movement between record carrier and transducer G11B ; static stores with means for writing-in or reading-out information G11C ; recording of television signals H04N 5/76 )
G03H,"HOLOGRAPHIC PROCESSES OR APPARATUS (holograms, e.g. point holograms, used as ordinary optical elements G02B 5/32 ; analogue computers performing mathematical operations with the aid of optical elements G06E 3/00 ; holographic storage G11B 7/0065 , G11C 13/04 ) [2]"
G04B,"MECHANICALLY-DRIVEN CLOCKS OR WATCHES; MECHANICAL PARTS OF CLOCKS OR WATCHES IN GENERAL; TIME-PIECES USING THE POSITION OF THE SUN, MOON, OR STARS (spring- or weight-driven mechanisms in general F03G ; electromechanical clocks or watches G04C ; electromechanical clocks with attached or built-in means operating any device at preselected times or after predetermined time intervals G04C 23/00 ; clocks or watches with stop devices G04F 7/08 ; structural details or housings specially adapted for electronic time-pieces with no moving parts G04G 17/00 )"
G04C,"ELECTROMECHANICAL CLOCKS OR WATCHES (mechanical parts of clocks or watches in general G04B ; electronic time-pieces with no moving parts, electronic circuitry for producing timing pulses G04G )"
G04D,APPARATUS OR TOOLS SPECIALLY DESIGNED FOR MAKING OR MAINTAINING CLOCKS OR WATCHES
G04F,"TIME-INTERVAL MEASURING ( measuring pulse characteristics G01R , e.g. G01R 29/02 ; in radar or like systems G01S ) [2]"
G04G,ELECTRONIC TIME-PIECES [3]
G04R,RADIO- CONTROLLED TIME-PIECES [2013.01]
G05D,SYSTEMS FOR CONTROLLING OR REGULATING NON-ELECTRIC VARIABLES
G05F,SYSTEMS FOR REGULATING ELECTRIC OR MAGNETIC VARIABLES [5]
G05G,"CONTROL DEVICES OR SYSTEMS INSOFAR AS CHARACTERISED BY MECHANICAL FEATURES ONLY (""Bowden"" or like mechanisms F16C 1/10 ; gearings or mechanisms not peculiar to this purpose F16H ; speed changing or reversing mechanisms for gearings conveying rotary motion F16H 59/00 - F16H 63/00 )"
G05B,Subject matter not provided for in other groups of this subclass [2006.01]
G06C,DIGITAL COMPUTERS IN WHICH ALL THE COMPUTATION IS EFFECTED MECHANICALLY (score computers for card games A63F 1/18 ) [4]
G06E,OPTICAL COMPUTING DEVICES (digital storage using optical elements G11C 13/04 ) [5]
G06F,ELECTRIC DIGITAL DATA PROCESSING (computer systems based on specific computational models G06N )
G06G,ANALOGUE COMPUTERS (analogue optical computing devices G06E 3/00 ; computer systems based on specific computational models G06N )
G06K,GRAPHICAL DATA READING (image or video recognition or understanding G06V ) ; PRESENTATION OF DATA ; RECORD CARRIERS ; HANDLING RECORD CARRIERS
G06N,COMPUTING ARRANGEMENTS BASED ON SPECIFIC COMPUTATIONAL MODELS [7]
G06Q,"INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL OR SUPERVISORY PURPOSES; SYSTEMS OR METHODS SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL OR SUPERVISORY PURPOSES, NOT OTHERWISE PROVIDED FOR [2006.01]"
G06T,"IMAGE DATA PROCESSING OR GENERATION, IN GENERAL [2006.01]"
G06V,IMAGE OR VIDEO RECOGNITION OR UNDERSTANDING [2022.01]
G06D,Computing devices characterised by the combination of hydraulic or pneumatic functional elements with at least one other type of functional element [2006.01]
G06J,Systems for conjoint operation of complete digital and complete analogue computers [2006.01]
G06M,"Counting of objects, not otherwise provided for [2011.01]"
G07B,"TICKET-ISSUING APPARATUS ; TAXIMETERS; ARRANGEMENTS OR APPARATUS FOR COLLECTING FARES, TOLLS OR ENTRANCE FEES AT ONE OR MORE CONTROL POINTS; FRANKING APPARATUS"
G07C,"TIME OR ATTENDANCE REGISTERS; REGISTERING OR INDICATING THE WORKING OF MACHINES; GENERATING RANDOM NUMBERS; VOTING OR LOTTERY APPARATUS ; ARRANGEMENTS, SYSTEMS OR APPARATUS FOR CHECKING NOT PROVIDED FOR ELSEWHERE"
G07D,"HANDLING OF COINS OR OF VALUABLE PAPERS, e.g. TESTING, SORTING BY DENOMINATIONS, COUNTING, DISPENSING, CHANGING OR DEPOSITING [2]"
G07F,COIN - FREED OR LIKE APPARATUS ( coin sorting G07D 3/00 ; coin testing G07D 5/00 ) [7]
G07G,"REGISTERING THE RECEIPT OF CASH, VALUABLES, OR TOKENS (digital computing in general G06C , G06F ) [4]"
G08B,SIGNALLING OR CALLING SYSTEMS ; ORDER TELEGRAPHS; ALARM SYSTEMS
G08G,Subject matter not provided for in other groups of this subclass [2006.01]
G09B,"EDUCATIONAL OR DEMONSTRATION APPLIANCES; APPLIANCES FOR TEACHING, OR COMMUNICATING WITH, THE BLIND, DEAF OR MUTE; MODELS; PLANETARIA; GLOBES; MAPS; DIAGRAMS"
G09C,CIPHERING OR DECIPHERING APPARATUS FOR CRYPTOGRAPHIC OR OTHER PURPOSES INVOLVING THE NEED FOR SECRECY
G09D,RAILWAY OR LIKE TIME OR FARE TABLES; PERPETUAL CALENDARS
G09F,DISPLAYING; ADVERTISING; SIGNS ; LABELS OR NAME-PLATES; SEALS
G10B,"ORGANS , HARMONIUMS OR SIMILAR WIND MUSICAL INSTRUMENTS WITH ASSOCIATED BLOWING APPARATUS (accordions, concertinas or the like or keyboards therefor G10D 11/00 ; automatic wind instruments G10F 1/12 )"
G10C,"PIANOS, HARPSICHORDS, SPINETS OR SIMILAR STRINGED MUSICAL INSTRUMENTS WITH ONE OR MORE KEYBOARDS (automatic musical instruments G10F )"
G10D,"STRINGED MUSICAL INSTRUMENTS; WIND MUSICAL INSTRUMENTS ; ACCORDIONS OR CONCERTINAS; PERCUSSION MUSICAL INSTRUMENTS; AEOLIAN HARPS; SINGING-FLAME MUSICAL INSTRUMENTS; MUSICAL INSTRUMENTS NOT OTHERWISE PROVIDED FOR (organs, harmoniums or similar wind musical instruments with associated blowing apparatus G10B ; pianos, harpsichords, spinets or similar stringed musical instruments with one or more keyboards G10C ; automatic musical instruments G10F ; electrophonic musical instruments in which tones are generated by electromechanical means G10H )"
G10F,AUTOMATIC MUSICAL INSTRUMENTS (non-musical aspects of musical toy instruments A63H 5/00 ; arrangements for the associated working of recording or reproducing apparatus with automatic musical instruments G11B 31/02 )
G10G,"REPRESENTATION OF MUSIC; RECORDING MUSIC IN NOTATION FORM; ACCESSORIES FOR MUSIC OR MUSICAL INSTRUMENTS NOT OTHERWISE PROVIDED FOR, e.g. SUPPORTS (music stands A47B ; non-musical aspects of musical toy instruments A63H 5/00 ; metronomes G04F 5/02 ; teaching music G09B 15/00 )"
G10H,"ELECTROPHONIC MUSICAL INSTRUMENTS; INSTRUMENTS IN WHICH THE TONES ARE GENERATED BY ELECTROMECHANICAL MEANS OR ELECTRONIC GENERATORS, OR IN WHICH THE TONES ARE SYNTHESISED FROM A DATA STORE"
G10K,"SOUND-PRODUCING DEVICES; METHODS OR DEVICES FOR PROTECTING AGAINST, OR FOR DAMPING, NOISE OR OTHER ACOUSTIC WAVES IN GENERAL; ACOUSTICS NOT OTHERWISE PROVIDED FOR [6]"
G10L,SPEECH ANALYSIS TECHNIQUES OR SPEECH SYNTHESIS; SPEECH RECOGNITION; SPEECH OR VOICE PROCESSING TECHNIQUES; SPEECH OR AUDIO CODING OR DECODING [4]
G11C,STATIC STORES (semiconductor memory devices H10B )
G11B,"Constructional parts, details or accessories not provided for in the other groups of this subclass [2006.01]"
G12B,"CONSTRUCTIONAL DETAILS OF INSTRUMENTS, OR COMPARABLE DETAILS OF OTHER APPARATUS , NOT OTHERWISE PROVIDED FOR"
G16B,"BIOINFORMATICS, i.e. INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR GENETIC OR PROTEIN-RELATED DATA PROCESSING IN COMPUTATIONAL MOLECULAR BIOLOGY [2019.01]"
G16C,COMPUTATIONAL CHEMISTRY; CHEMOINFORMATICS; COMPUTATIONAL MATERIALS SCIENCE [2019.01]
G16H,"HEALTHCARE INFORMATICS, i.e. INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR THE HANDLING OR PROCESSING OF MEDICAL OR HEALTHCARE DATA [2018.01]"
G16Y,INFORMATION AND COMMUNICATION TECHNOLOGY SPECIALLY ADAPTED FOR THE INTERNET OF THINGS [IoT] [2020.01]
G16Z,"INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR SPECIFIC APPLICATION FIELDS, NOT OTHERWISE PROVIDED FOR [2019.01]"
G21B,"FUSION REACTORS (uncontrolled fusion , applications thereof G21J )"
G21C,"NUCLEAR REACTORS (fusion reactors, hybrid fission-fusion reactors G21B ; nuclear explosives G21J )"
G21D,NUCLEAR POWER PLANT
G21F,"PROTECTION AGAINST X-RADIATION, GAMMA RADIATION, CORPUSCULAR RADIATION OR PARTICLE BOMBARDMENT; TREATING RADIOACTIVELY CONTAMINATED MATERIAL ; DECONTAMINATION ARRANGEMENTS THEREFOR (radiation protection by pharmaceutical means A61K 8/00 , A61Q 17/04 ; in cosmonautic vehicles B64G 1/54 ; combined with a reactor G21C 11/00 ; combined with X-ray tubes H01J 35/16 ; combined with X-ray apparatus H05G 1/02 )"
G21G,CONVERSION OF CHEMICAL ELEMENTS; RADIOACTIVE SOURCES [2]
G21H,"OBTAINING ENERGY FROM RADIOACTIVE SOURCES; APPLICATIONS OF RADIATION FROM RADIOACTIVE SOURCES, NOT OTHERWISE PROVIDED FOR; UTILISING COSMIC RADIATION (measurement of nuclear or X-radiation G01T ; fusion reactors G21B ; nuclear reactors G21C ; lamps in which a gas filling is excited to luminescence by external corpuscular radiation or by radioactive material structurally associated with the lamp H01J 65/04 , H01J 65/06 )"
G21K,TECHNIQUES FOR HANDLING PARTICLES OR IONISING RADIATION NOT OTHERWISE PROVIDED FOR; IRRADIATION DEVICES; GAMMA RAY OR X-RAY MICROSCOPES [2]
G21J,NUCLEAR EXPLOSIVES; APPLICATIONS THEREOF
G99Z,SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION [2006.01]
H01B,"CABLES; CONDUCTORS; INSULATORS; SELECTION OF MATERIALS FOR THEIR CONDUCTIVE, INSULATING OR DIELECTRIC PROPERTIES (selection for magnetic properties H01F 1/00 ; waveguides H01P )"
H01C,RESISTORS
H01F,MAGNETS; INDUCTANCES; TRANSFORMERS; SELECTION OF MATERIALS FOR THEIR MAGNETIC PROPERTIES [2]
H01G,"CAPACITORS; CAPACITORS, RECTIFIERS, DETECTORS, SWITCHING DEVICES, LIGHT-SENSITIVE OR TEMPERATURE-SENSITIVE DEVICES OF THE ELECTROLYTIC TYPE (selection of specified materials as dielectric H01B 3/00 ; capacitors having potential barriers H10D 1/62 , H10K 10/10 )"
H01H,ELECTRIC SWITCHES ; RELAYS ; SELECTORS ; EMERGENCY PROTECTIVE DEVICES ( contact cables H01B 7/10 ; electrolytic self-interrupters H01G 9/18 ; emergency protective circuit arrangements H02H ; switching by electronic means without contact -making H03K 17/00 )
H01J,ELECTRIC DISCHARGE TUBES OR DISCHARGE LAMPS (spark-gaps H01T ; arc lamps with consumable electrodes H05B ; particle accelerators H05H )
H01K,"ELECTRIC INCANDESCENT LAMPS (details, apparatus or processes for manufacture applicable to both discharge devices and incandescent lamps H01J ; light sources using a combination of incandescent and other types of light generation H01J 61/96 , H05B 35/00 )"
H01M,"PROCESSES OR MEANS, e.g. BATTERIES , FOR THE DIRECT CONVERSION OF CHEMICAL ENERGY INTO ELECTRICAL ENERGY [2]"
H01P,"WAVEGUIDES; RESONATORS, LINES OR OTHER DEVICES OF THE WAVEGUIDE TYPE (operating at optical frequencies G02B )"
H01Q,"ANTENNAS, i.e. RADIO AERIALS (radiators or antennas for microwave heating H05B 6/72 )"
H01R,ELECTRICALLY-CONDUCTIVE CONNECTIONS; STRUCTURAL ASSOCIATIONS OF A PLURALITY OF MUTUALLY-INSULATED ELECTRICAL CONNECTING ELEMENTS; COUPLING DEVICES; CURRENT COLLECTORS
H01S,DEVICES USING THE PROCESS OF LIGHT AMPLIFICATION BY STIMULATED EMISSION OF RADIATION [ LASER ] TO AMPLIFY OR GENERATE LIGHT; DEVICES USING STIMULATED EMISSION OF ELECTROMAGNETIC RADIATION IN WAVE RANGES OTHER THAN OPTICAL
H01T,SPARK GAPS ; OVERVOLTAGE ARRESTERS USING SPARK GAPS ; SPARKING PLUGS; CORONA DEVICES; GENERATING IONS TO BE INTRODUCED INTO NON-ENCLOSED GASES (overvoltage protection circuits H02H )
H02B,"BOARDS, SUBSTATIONS OR SWITCHING ARRANGEMENTS FOR THE SUPPLY OR DISTRIBUTION OF ELECTRIC POWER"
H02G,"INSTALLATION OF ELECTRIC CABLES OR LINES, OR OF COMBINED OPTICAL AND ELECTRIC CABLES OR LINES"
H02H,"EMERGENCY PROTECTIVE CIRCUIT ARRANGEMENTS (indicating or signalling undesired working conditions G01R , e.g. G01R 31/00 , G08B ; locating faults along lines G01R 31/08 ; emergency protective devices H01H )"
H02J,CIRCUIT ARRANGEMENTS OR SYSTEMS FOR SUPPLYING OR DISTRIBUTING ELECTRIC POWER; SYSTEMS FOR STORING ELECTRIC ENERGY
H02K,DYNAMO-ELECTRIC MACHINES ( dynamo-electric relays H01H 53/00 ; conversion of DC or AC input power into surge output power H02M 9/00 )
H02N,ELECTRIC MACHINES NOT OTHERWISE PROVIDED FOR
H02P,"CONTROL OR REGULATION OF ELECTRIC MOTORS , ELECTRIC GENERATORS OR DYNAMO-ELECTRIC CONVERTERS; CONTROLLING TRANSFORMERS, REACTORS OR CHOKE COILS [4]"
H02S,"GENERATION OF ELECTRIC POWER BY CONVERSION OF INFRARED RADIATION, VISIBLE LIGHT OR ULTRAVIOLET LIGHT, e.g. USING PHOTOVOLTAIC [PV] MODULES (obtaining electrical energy from radioactive sources G21H 1/12 ; light sensitive inorganic semiconductor devices H10F ; light sensitive organic semiconductor devices H10K 30/00 ; thermoelectric devices H10N 10/00 ; pyroelectric devices H10N 15/00 ) [2014.01]"
H03B,"GENERATION OF OSCILLATIONS, DIRECTLY OR BY FREQUENCY-CHANGING, BY CIRCUITS EMPLOYING ACTIVE ELEMENTS WHICH OPERATE IN A NON-SWITCHING MANNER; GENERATION OF NOISE BY SUCH CIRCUITS (generators specially adapted for electrophonic musical instruments G10H ; masers or lasers H01S ; generation of oscillations in plasma H05H )"
H03C,"MODULATION (masers or lasers H01S ; coding, decoding or code conversion H03M )"
H03F,AMPLIFIERS
H03G,CONTROL OF AMPLIFICATION
H03H,"IMPEDANCE NETWORKS, e.g. RESONANT CIRCUITS; RESONATORS (waveguides, resonators, lines or other devices of the waveguide type H01P )"
H03J,TUNING RESONANT CIRCUITS; SELECTING RESONANT CIRCUITS
H03L,"AUTOMATIC CONTROL , STARTING, SYNCHRONISATION OR STABILISATION OF GENERATORS OF ELECTRONIC OSCILLATIONS OR PULSES (generation of oscillations H03B ) [3]"
H03D,Subject matter not provided for in other groups of this subclass [2006.01]
H03K,Subject matter not provided for in other groups of this subclass [2013.01]
H03M,Subject matter not provided for in other groups of this subclass [2006.01]
H04B,TRANSMISSION [4]
H04H,BROADCAST COMMUNICATION (multiplex communication H04J ; pictorial communication aspects of broadcast systems H04N )
H04J,MULTIPLEX COMMUNICATION (peculiar to transmission of digital information H04L 5/00 ; systems for the simultaneous or sequential transmission of more than one television signal H04N 7/08 ; in exchanges H04Q 11/00 )
H04K,SECRET COMMUNICATION ; JAMMING OF COMMUNICATION
H04L,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION (arrangements common to telegraphic and telephonic communication H04M ) [4]"
H04M,TELEPHONIC COMMUNICATION (circuits for controlling other apparatus via a telephone cable and not involving telephone switching apparatus G08 )
H04N,"PICTORIAL COMMUNICATION, e.g. TELEVISION [4]"
H04Q,"SELECTING (switches, relays, selectors H01H ; wireless communication networks H04W ) [2009.01]"
H04R,"LOUDSPEAKERS , MICROPHONES , GRAMOPHONE PICK-UPS OR LIKE ACOUSTIC ELECTROMECHANICAL TRANSDUCERS ; DEAF-AID SETS; PUBLIC ADDRESS SYSTEMS (producing sounds with frequency not determined by supply frequency G10K ) [6]"
H04S,STEREOPHONIC SYSTEMS [3]
H04W,"WIRELESS COMMUNICATION NETWORKS (broadcast communication H04H ; communication systems using wireless links for non-selective communication, e.g. wireless extensions H04M 1/72 ) [2009.01]"
H05B,"ELECTRIC HEATING; ELECTRIC LIGHT SOURCES NOT OTHERWISE PROVIDED FOR; CIRCUIT ARRANGEMENTS FOR ELECTRIC LIGHT SOURCES, IN GENERAL"
H05C,"ELECTRIC CIRCUITS OR APPARATUS SPECIALLY DESIGNED FOR USE IN EQUIPMENT FOR KILLING, STUNNING, ENCLOSING OR GUIDING LIVING BEINGS (stationary means for catching or killing insects by electric means A01M 1/22 ; apparatus for the destruction of noxious animals, other than insects, by electricity A01M 19/00 ; electric traps for animals A01M 23/38 ; slaughtering or stunning by electric current A22B 3/06 )"
H05F,STATIC ELECTRICITY; NATURALLY-OCCURRING ELECTRICITY
H05G,STATIC ELECTRICITY; NATURALLY-OCCURRING ELECTRICITY
H05H,PLASMA TECHNIQUE ( apparatus or processes specially adapted for producing X-rays H05G 2/00 ) ; PRODUCTION OF ACCELERATED ELECTRICALLY-CHARGED PARTICLES OR OF NEUTRONS; PRODUCTION OR ACCELERATION OF NEUTRAL MOLECULAR OR ATOMIC BEAMS
H05K,PRINTED CIRCUITS ; CASINGS OR CONSTRUCTIONAL DETAILS OF ELECTRIC APPARATUS ; MANUFACTURE OF ASSEMBLAGES OF ELECTRICAL COMPONENTS
H10B,ELECTRONIC MEMORY DEVICES [2023.01]
H10D,INORGANIC ELECTRIC SEMICONDUCTOR DEVICES [2025.01]
H10F,"INORGANIC SEMICONDUCTOR DEVICES SENSITIVE TO INFRARED RADIATION, LIGHT, ELECTROMAGNETIC RADIATION OF SHORTER WAVELENGTH OR CORPUSCULAR RADIATION [2025.01]"
H10H,INORGANIC LIGHT-EMITTING SEMICONDUCTOR DEVICES HAVING POTENTIAL BARRIERS [2025.01]
H10K,ORGANIC ELECTRIC SOLID-STATE DEVICES [2023.01]
H10N,ELECTRIC SOLID-STATE DEVICES NOT OTHERWISE PROVIDED FOR [2023.01]
H99Z,SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION [2006.01]
